nohup: ignoring input
Model Params: 63.91M
Trainable Params: 63.912M
Generating train split: 0 examples [00:00, ? examples/s]Generating train split: 42289 examples [00:00, 310832.65 examples/s]Generating train split: 99700 examples [00:00, 383637.39 examples/s]Generating train split: 200536 examples [00:00, 600305.68 examples/s]Generating train split: 355104 examples [00:00, 804431.40 examples/s]Generating train split: 477003 examples [00:00, 820522.38 examples/s]Generating train split: 623860 examples [00:00, 668106.31 examples/s]Generating train split: 704386 examples [00:01, 574073.12 examples/s]Generating train split: 783962 examples [00:01, 509265.06 examples/s]Generating train split: 867098 examples [00:01, 474971.54 examples/s]Generating train split: 925811 examples [00:01, 462409.41 examples/s]Generating train split: 991814 examples [00:01, 468042.04 examples/s]Generating train split: 1047349 examples [00:01, 469419.98 examples/s]Generating train split: 1100155 examples [00:02, 296316.35 examples/s]Generating train split: 1166426 examples [00:02, 350039.57 examples/s]Generating train split: 1210692 examples [00:02, 349957.50 examples/s]Generating train split: 1267327 examples [00:02, 371530.33 examples/s]Generating train split: 1270238 examples [00:02, 467807.72 examples/s]
torch.compile enabled
Epoch:[1/3](1900/9924), loss: 2.7866, logits_loss: 2.7866, aux_loss: 0.0000, lr: 0.00049549, epoch_time: 65.0min
Epoch:[1/3](1950/9924), loss: 2.8356, logits_loss: 2.8356, aux_loss: 0.0000, lr: 0.00049525, epoch_time: 64.0min
Epoch:[1/3](2000/9924), loss: 2.7771, logits_loss: 2.7771, aux_loss: 0.0000, lr: 0.00049501, epoch_time: 64.0min
Epoch:[1/3](2050/9924), loss: 2.6518, logits_loss: 2.6518, aux_loss: 0.0000, lr: 0.00049476, epoch_time: 63.0min
Epoch:[1/3](2100/9924), loss: 2.7085, logits_loss: 2.7085, aux_loss: 0.0000, lr: 0.00049450, epoch_time: 63.0min
Epoch:[1/3](2150/9924), loss: 2.5703, logits_loss: 2.5703, aux_loss: 0.0000, lr: 0.00049423, epoch_time: 63.0min
Epoch:[1/3](2200/9924), loss: 2.7082, logits_loss: 2.7082, aux_loss: 0.0000, lr: 0.00049396, epoch_time: 62.0min
Epoch:[1/3](2250/9924), loss: 2.5876, logits_loss: 2.5876, aux_loss: 0.0000, lr: 0.00049369, epoch_time: 62.0min
Epoch:[1/3](2300/9924), loss: 2.7040, logits_loss: 2.7040, aux_loss: 0.0000, lr: 0.00049341, epoch_time: 61.0min
Epoch:[1/3](2350/9924), loss: 2.5835, logits_loss: 2.5835, aux_loss: 0.0000, lr: 0.00049312, epoch_time: 61.0min
Epoch:[1/3](2400/9924), loss: 2.6221, logits_loss: 2.6221, aux_loss: 0.0000, lr: 0.00049282, epoch_time: 61.0min
Epoch:[1/3](2450/9924), loss: 2.6011, logits_loss: 2.6011, aux_loss: 0.0000, lr: 0.00049252, epoch_time: 60.0min
Epoch:[1/3](2500/9924), loss: 2.4985, logits_loss: 2.4985, aux_loss: 0.0000, lr: 0.00049222, epoch_time: 60.0min
Epoch:[1/3](2550/9924), loss: 2.5914, logits_loss: 2.5914, aux_loss: 0.0000, lr: 0.00049190, epoch_time: 59.0min
Epoch:[1/3](2600/9924), loss: 2.5637, logits_loss: 2.5637, aux_loss: 0.0000, lr: 0.00049158, epoch_time: 59.0min
Epoch:[1/3](2650/9924), loss: 2.4875, logits_loss: 2.4875, aux_loss: 0.0000, lr: 0.00049126, epoch_time: 58.0min
Epoch:[1/3](2700/9924), loss: 2.5446, logits_loss: 2.5446, aux_loss: 0.0000, lr: 0.00049093, epoch_time: 58.0min
Epoch:[1/3](2750/9924), loss: 2.4661, logits_loss: 2.4661, aux_loss: 0.0000, lr: 0.00049059, epoch_time: 58.0min
Epoch:[1/3](2800/9924), loss: 2.5752, logits_loss: 2.5752, aux_loss: 0.0000, lr: 0.00049025, epoch_time: 57.0min
Epoch:[1/3](2850/9924), loss: 2.5488, logits_loss: 2.5488, aux_loss: 0.0000, lr: 0.00048990, epoch_time: 57.0min
Epoch:[1/3](2900/9924), loss: 2.4202, logits_loss: 2.4202, aux_loss: 0.0000, lr: 0.00048955, epoch_time: 56.0min
Epoch:[1/3](2950/9924), loss: 2.5650, logits_loss: 2.5650, aux_loss: 0.0000, lr: 0.00048919, epoch_time: 56.0min
Epoch:[1/3](3000/9924), loss: 2.4548, logits_loss: 2.4548, aux_loss: 0.0000, lr: 0.00048882, epoch_time: 56.0min
Epoch:[1/3](3050/9924), loss: 2.6406, logits_loss: 2.6406, aux_loss: 0.0000, lr: 0.00048845, epoch_time: 55.0min
Epoch:[1/3](3100/9924), loss: 2.3815, logits_loss: 2.3815, aux_loss: 0.0000, lr: 0.00048807, epoch_time: 55.0min
Epoch:[1/3](3150/9924), loss: 2.4907, logits_loss: 2.4907, aux_loss: 0.0000, lr: 0.00048768, epoch_time: 54.0min
Epoch:[1/3](3200/9924), loss: 2.4991, logits_loss: 2.4991, aux_loss: 0.0000, lr: 0.00048729, epoch_time: 54.0min
Epoch:[1/3](3250/9924), loss: 2.3967, logits_loss: 2.3967, aux_loss: 0.0000, lr: 0.00048690, epoch_time: 54.0min
Epoch:[1/3](3300/9924), loss: 2.4883, logits_loss: 2.4883, aux_loss: 0.0000, lr: 0.00048650, epoch_time: 53.0min
Epoch:[1/3](3350/9924), loss: 2.4308, logits_loss: 2.4308, aux_loss: 0.0000, lr: 0.00048609, epoch_time: 53.0min
Epoch:[1/3](3400/9924), loss: 2.4462, logits_loss: 2.4462, aux_loss: 0.0000, lr: 0.00048567, epoch_time: 52.0min
Epoch:[1/3](3450/9924), loss: 2.3941, logits_loss: 2.3941, aux_loss: 0.0000, lr: 0.00048525, epoch_time: 52.0min
Epoch:[1/3](3500/9924), loss: 2.3786, logits_loss: 2.3786, aux_loss: 0.0000, lr: 0.00048483, epoch_time: 51.0min
Epoch:[1/3](3550/9924), loss: 2.5107, logits_loss: 2.5107, aux_loss: 0.0000, lr: 0.00048440, epoch_time: 51.0min
Epoch:[1/3](3600/9924), loss: 2.4292, logits_loss: 2.4292, aux_loss: 0.0000, lr: 0.00048396, epoch_time: 51.0min
Epoch:[1/3](3650/9924), loss: 2.3972, logits_loss: 2.3972, aux_loss: 0.0000, lr: 0.00048352, epoch_time: 50.0min
Epoch:[1/3](3700/9924), loss: 2.4131, logits_loss: 2.4131, aux_loss: 0.0000, lr: 0.00048307, epoch_time: 50.0min
Epoch:[1/3](3750/9924), loss: 2.4941, logits_loss: 2.4941, aux_loss: 0.0000, lr: 0.00048261, epoch_time: 49.0min
Epoch:[1/3](3800/9924), loss: 2.4781, logits_loss: 2.4781, aux_loss: 0.0000, lr: 0.00048215, epoch_time: 49.0min
Epoch:[1/3](3850/9924), loss: 2.3709, logits_loss: 2.3709, aux_loss: 0.0000, lr: 0.00048169, epoch_time: 49.0min
Epoch:[1/3](3900/9924), loss: 2.3488, logits_loss: 2.3488, aux_loss: 0.0000, lr: 0.00048121, epoch_time: 48.0min
Epoch:[1/3](3950/9924), loss: 2.3889, logits_loss: 2.3889, aux_loss: 0.0000, lr: 0.00048074, epoch_time: 48.0min
Epoch:[1/3](4000/9924), loss: 2.3255, logits_loss: 2.3255, aux_loss: 0.0000, lr: 0.00048025, epoch_time: 47.0min
Epoch:[1/3](4050/9924), loss: 2.3341, logits_loss: 2.3341, aux_loss: 0.0000, lr: 0.00047976, epoch_time: 47.0min
Epoch:[1/3](4100/9924), loss: 2.3868, logits_loss: 2.3868, aux_loss: 0.0000, lr: 0.00047927, epoch_time: 47.0min
